raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
NIOZ jetty,nioz jetty,nioz jetty,WernandMR_NL_NIOZ_LK,Netherlands (the),1,53.001833,4.7892,wb2:nioz jetty,wb5:nioz jetty,raw:NIOZ jetty,cg:DekkerAG_NL_VU,
North Sea,north sea,north sea,BracherA_DE_AWI,Germany,2,54.196915000000004,7.6273315,wb2:north sea,wb5:north sea,raw:North Sea,cg:BracherA_DE_AWI,
North Sea,north sea,north sea,BracherA_DE_AWI,Norway,13,58.157433076923084,7.7023069230769226,wb2:north sea,wb5:north sea,raw:North Sea,cg:BracherA_DE_AWI,
North Sea,north sea,north sea,WernandMR_NL_NIOZ_CST,Netherlands (the),39,53.30224666666667,3.9998518974358976,wb2:north sea,wb5:north sea,raw:North Sea,cg:BracherA_DE_AWI,
Sognefjord,sognefjord,sognefjord,BracherA_DE_AWI,Norway,2,61.0995,6.472085,wb2:north sea,wb5:north sea,raw:Sognefjord,cg:BracherA_DE_AWI,manual merge (pipeline review of candidates): same fjord (inner fjord and fjord mouth)
Sognefjord/North Sea,sognefjord/north sea,sognefjord/north sea,BracherA_DE_AWI,Norway,2,61.060919999999996,5.0265,wb2:north sea,wb5:north sea,raw:Sognefjord/North Sea,cg:BracherA_DE_AWI,manual merge (pipeline review of candidates): same fjord (inner fjord and fjord mouth)
"Nueces Bay, TX","nueces bay, tx","nueces bay, tx",SchallesJ_US_Creighton,United States of America (the),7,27.846998809523814,-97.42400515873017,"wb2:nueces bay, tx","wb5:corpus christi bay, tx","raw:Nueces Bay, TX",cg:BindingC_CA_ECCC,
Ogallala Lake,ogallala lake,ogallala lake,GitelsonAA_US_UNL,United States of America (the),7,41.21704714285714,-101.65584142857142,wb2:ogallala lake,wb5:mcconaughy lake,raw:Ogallala Lake,cg:GitelsonAA_US_UNL,
Ohinewai,ohinewai,ohinewai,LehmannMK_NZ_UOW_NZ_LK,New Zealand,1,-37.494439,175.171297,wb2:ohinewai,wb5:lake whangape,raw:Ohinewai,cg:LehmannMK_NZ_UOW_NZ_LK,
"Oneida Lake, NY","oneida lake, ny","oneida lake, ny",O'DonnellDM_US_UFI,United States of America (the),8,43.20275,-75.91125,"wb2:oneida lake, ny","wb5:oneida lake, ny","raw:Oneida Lake, NY",cg:BindingC_CA_ECCC,
