group_a,group_b,names_a,names_b,min_km,shared_tokens
"wb2:atlantic ocean, va","wb2:james river, va","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","james river, va",4.68,
wb2:lake elistvere,wb2:lake saadjarv,lake elistvere; lake kaiavere,lake saadjarv,4.71,
wb2:lake rotoehu,wb2:lake rotoma,lake rotoehu,lake rotoma,4.72,
wb2:lake koosa,wb2:lake peipsi,lake koosa,lake peipsi,4.78,
wb2:lake harihari,wb2:lake kai-iwi,lake harihari,lake kai-iwi; lake taharoa; lake waikere,4.83,
wb2:ohinewai,wb2:rotognaro,ohinewai,rotognaro; rotognaroiti,4.86,
wb2:lake monona,wb2:lake waubesa,lake monona,lake waubesa,4.91,
"wb2:delaware bay, de","wb2:fork branch, de","delaware bay, de; murderkill river, de; st. jones river, de","fork branch, de",5.17,
wb2:lake poygan,wb2:lake winneconne,lake poygan,lake winneconne,5.17,
wb2:lake raigastvere,wb2:lake saadjarv,lake raigastvere,lake saadjarv,5.18,
wb2:hilversums kanaal,wb2:nightevecht,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,nightevecht,5.25,
"wb2:aransas bay, tx","wb2:intracoastal waterway, tx","aransas bay, tx; aransas channel, tx; aransas pass, tx; corpus christi ship channel, tx; gulf of mexico, tx; lydia ann channel, tx; redfish bay, tx","intracoastal waterway, tx",5.29,
wb2:mekong river,wb2:south china sea,mekong river,south china sea; south china sea (bornean coast),5.32,
wb2:fox river,wb2:lake michigan,fox river,lake michigan,5.41,
"wb2:combahee river, sc","wb2:st. helena sound, sc","combahee river, sc","st. helena sound, sc",5.45,
wb2:lake chotkowskie,wb2:lake niezabyszewskie,lake chotkowskie,lake niezabyszewskie,5.47,
wb2:lake kaariku,wb2:lake puhajarv,lake kaariku,lake puhajarv,5.53,
wb2:lake murati,wb2:lake ruusmae,lake murati,lake ruusmae,5.53,
wb2:brovales,wb2:valuengo,brovales,valuengo,5.55,
wb2:lake boruja maa,wb2:lake pyszne,lake boruja maa,lake pyszne,5.59,
wb2:hilversums kanaal,wb2:vinkeveenseplas jachthaven,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,vinkeveenseplas jachthaven,5.65,jachthaven
wb2:lake okareka,wb2:lake tarawera,lake okareka,lake tarawera,5.72,
"wb2:derby pond, de","wb2:moore's lake, de","derby pond, de","moore's lake, de",5.74,
"wb2:atlantic ocean, va","wb2:south river, md","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","south river, md",5.76,
"wb2:great pee dee river, sc","wb2:winyah bay, sc","great pee dee river, sc","winyah bay, sc",5.76,
wb2:lake bonney,wb2:wachtels lagoon,lake bonney,wachtels lagoon,5.76,
wb2:amsterdam-rhine canal,wb2:naardermeer-spookgat,amsterdam-rhine canal; amsterdam-rijn kanaal weesp,naardermeer-spookgat,5.82,
"wb2:dona bay, fl","wb2:gulf of mexico, fl","dona bay, fl; intracoastal waterway, fl; lyons bay, fl; roberts bay, fl","gulf of mexico, fl; tampa bay, fl",5.89,
"wb2:altamaha river, ga","wb2:cumberland sound, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","cumberland sound, ga; st. marys river, ga",5.98,
wb2:lake rotoiti,wb2:lake rotorua,lake rotoiti,lake rotorua,6.13,
wb2:lake okareka,wb2:lake okataina,lake okareka,lake okataina,6.16,
"wb2:delaware bay, de","wb2:derby pond, de","delaware bay, de; murderkill river, de; st. jones river, de","derby pond, de",6.18,
wb2:lake ruatuna,wb2:mangakaware,lake ruatuna,mangakaware,6.27,
wb2:lake loch katrine,wb2:lake sheppard,lake loch katrine,lake sheppard; lake taylor,6.3,
wb2:big saint germain lake,wb2:rainbow flowage,big saint germain lake,rainbow flowage,6.37,
wb2:lake hakanoa,wb2:ohinewai,lake hakanoa,ohinewai,6.37,
wb2:lake niezabyszewskie,wb2:lake pyszne,lake niezabyszewskie,lake pyszne,6.38,
"wb2:black river, sc","wb2:great pee dee river, sc","black river, sc","great pee dee river, sc",6.42,
wb2:lake kegonsa,wb2:lake waubesa,lake kegonsa,lake waubesa,6.48,
"wb2:canoochee river, ga","wb2:osabaw sound, ga","canoochee river, ga; ogeechee river, ga","osabaw sound, ga",6.54,
wb2:naardermeer-spookgat,wb2:nightevecht,naardermeer-spookgat,nightevecht,6.55,
"wb2:fork branch, de","wb2:moore's lake, de","fork branch, de","moore's lake, de",6.57,
wb2:lake vanttausjarvi,wb2:lake vuoskujarvi,lake vanttausjarvi,lake vuoskujarvi,6.57,
wb2:lake humuhumu,wb2:lake mokeno,lake humuhumu; lake swan/rotootuaruru,lake mokeno,6.69,
wb2:amsterdam-rhine canal,wb2:vinkeveenseplas jachthaven,amsterdam-rhine canal; amsterdam-rijn kanaal weesp,vinkeveenseplas jachthaven,6.7,
wb2:lake joksi,wb2:lake kooraste linajarv,lake joksi,lake kooraste linajarv,6.73,
wb2:beaver dam lake,wb2:fox lake,beaver dam lake,fox lake,6.87,
wb2:lake karaka,wb2:lake rototuna,lake karaka,lake rototuna,6.99,
