group_a,group_b,names_a,names_b,min_km,shared_tokens
wb2:cernadilla,wb2:valparaiso,cernadilla,valparaiso,14.85,
"wb2:st. andrews sound, ga","wb2:st. simons sound, ga","st. andrews sound, ga","st. simons sound, ga",14.86,
wb2:lake elistvere,wb2:lake kuremaa,lake elistvere; lake kaiavere,lake kuremaa,14.9,
"wb2:satilla river, ga","wb2:st. andrews sound, ga","satilla river, ga","st. andrews sound, ga",14.97,
"wb2:bayou cassotte, ms","wb2:grand bay, ms","bayou cassotte, ms","grand bay, ms",15.06,
wb2:big saint germain lake,wb2:trout lake,big saint germain lake,trout lake,15.09,
wb2:ullswater,wb2:windermere,ullswater,windermere,15.26,
wb2:lake rotoiti (nelson lake),wb2:rotoroa,lake rotoiti (nelson lake),rotoroa,15.28,
wb2:lake benmore,wb2:lake wairepo arm,lake benmore,lake wairepo arm,15.4,
wb2:lake joemoisa,wb2:lake saadjarv,lake joemoisa; lake kaiu,lake saadjarv,15.58,
wb2:lake kaariku,wb2:lake nouni,lake kaariku,lake nouni,15.58,
wb2:lake b,wb2:lake waahi,lake b; lake d (kainui),lake waahi,15.6,
wb2:lake rotoroa (hamilton),wb2:mangakaware,lake rotoroa (hamilton),mangakaware,15.64,
wb2:lake gebokie,wb2:lake jasien ponocny,lake gebokie,lake jasien ponocny; lake jasien poudniowy,15.67,
wb2:lake okataina,wb2:lake rotoma,lake okataina,lake rotoma,15.68,
wb2:lake areare,wb2:lake rotoroa (hamilton),lake areare,lake rotoroa (hamilton),15.77,
wb2:lake ebsko,wb2:lake gardno,lake ebsko,lake gardno,15.95,
wb2:lake waahi,wb2:lake waikare,lake waahi,lake waikare,15.99,
wb2:big sand lake,wb2:butternut lake,big sand lake,butternut lake,16.04,
wb2:lake ruatuna,wb2:te koutu,lake ruatuna,te koutu,16.29,
wb2:bornos,wb2:guadalcacin,bornos,guadalcacin,16.31,
wb2:lake kaariku,wb2:lake kooraste linajarv,lake kaariku,lake kooraste linajarv,16.43,
wb2:lake obeze,wb2:lake rybiec,lake obeze,lake rybiec,16.47,
wb2:lake czarne,wb2:lake niezabyszewskie,lake czarne,lake niezabyszewskie,16.54,
wb2:lake rotoiti,wb2:lake rotokakahi,lake rotoiti,lake rotokakahi; lake tikitapu,16.57,
"wb2:great pee dee river, sc","wb2:waccamaw river, sc","great pee dee river, sc","waccamaw river, sc",16.63,
"wb2:aransas bay, tx","wb2:corpus christi bay, tx","aransas bay, tx; aransas channel, tx; aransas pass, tx; corpus christi ship channel, tx; gulf of mexico, tx; lydia ann channel, tx; redfish bay, tx","corpus christi bay, tx",16.68,christi corpus
wb2:lake maratoto,wb2:lake rotokauri,lake maratoto,lake rotokauri,16.68,
wb2:amer,wb2:bovenmerwede,amer,bovenmerwede,16.71,
"wb2:altamaha river, ga","wb2:st. simons sound, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","st. simons sound, ga",16.74,
wb2:hilversums kanaal,wb2:ijmeer durgerdam,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,ijmeer durgerdam; markermeer de hemmelanden,16.77,
wb2:hou lake,wb2:wuhan east lake,hou lake,wuhan east lake,16.84,
"wb2:aransas bay, tx","wb2:san antonio bay, tx","aransas bay, tx; aransas channel, tx; aransas pass, tx; corpus christi ship channel, tx; gulf of mexico, tx; lydia ann channel, tx; redfish bay, tx","san antonio bay, tx",16.93,
wb2:ijmeer durgerdam,wb2:vinkeveenseplas jachthaven,ijmeer durgerdam; markermeer de hemmelanden,vinkeveenseplas jachthaven,16.93,
wb2:lake gebokie,wb2:lake niezabyszewskie,lake gebokie,lake niezabyszewskie,16.97,
wb2:lake rerewhakaaitu,wb2:lake rotokakahi,lake rerewhakaaitu,lake rotokakahi; lake tikitapu,16.98,
wb2:lake joemoisa,wb2:lake kuremaa,lake joemoisa; lake kaiu,lake kuremaa,16.99,
wb2:lake rotoiti,wb2:lake tarawera,lake rotoiti,lake tarawera,17.19,
wb2:hawke bay,wb2:lake tutira,hawke bay,lake tutira; lake waikopiro,17.2,
wb2:lake brunner,wb2:lake haupiri,lake brunner,lake haupiri,17.22,
"wb2:altamaha river, ga","wb2:osabaw sound, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","osabaw sound, ga",17.25,
wb2:lake joksi,wb2:lake puhajarv,lake joksi,lake puhajarv,17.28,
wb2:lake kaariku,wb2:lake otepaa valgjarv,lake kaariku,lake otepaa valgjarv,17.28,
wb2:lake kahuparere,wb2:lake ototoa,lake kahuparere; lake kanono; lake rotokawau,lake ototoa,17.47,
"wb2:combahee river, sc","wb2:st. pierre creek, sc","combahee river, sc","st. pierre creek, sc",17.49,
wb2:lake benmore,wb2:lake ruataniwha,lake benmore,lake ruataniwha,17.54,
wb2:lake okareka,wb2:lake rerewhakaaitu,lake okareka,lake rerewhakaaitu,17.73,
wb2:lake verevi,wb2:lake vortsjarv,lake verevi,lake vortsjarv,17.85,
wb2:lake rotorua,wb2:lake tarawera,lake rotorua,lake tarawera,17.88,
wb2:francis,wb2:volney,francis,volney,18.09,
wb2:lake pangodi,wb2:lake puhajarv,lake pangodi,lake puhajarv,18.22,
wb2:lake kegonsa,wb2:lake mendota,lake kegonsa,lake mendota,18.38,
wb2:burguillo,wb2:san juan,burguillo,san juan,18.43,
wb2:lake czarne,wb2:lake rybiec,lake czarne,lake rybiec,18.46,
wb2:lake zug,wb2:lake zurich,lake zug,lake zurich,18.49,
wb2:lac courte oreilles,wb2:lake chetac,lac courte oreilles,lake chetac,18.52,
wb2:lake kuremaa,wb2:lake soitsjarv,lake kuremaa,lake soitsjarv,18.55,
wb2:sakatah,wb2:volney,sakatah,volney,18.58,
wb2:lake murati,wb2:lake rouge suurjarv,lake murati,lake rouge suurjarv,18.7,
wb2:lake rotokauri,wb2:mangakaware,lake rotokauri,mangakaware,18.95,
wb2:lake kuremaa,wb2:lake saadjarv,lake kuremaa,lake saadjarv,19.04,
wb2:lake okaro,wb2:lake okataina,lake okaro,lake okataina,19.15,
wb2:elysian,wb2:volney,elysian,volney,19.24,
"wb2:aransas bay, tx","wb2:nueces bay, tx","aransas bay, tx; aransas channel, tx; aransas pass, tx; corpus christi ship channel, tx; gulf of mexico, tx; lydia ann channel, tx; redfish bay, tx","nueces bay, tx",19.25,
wb2:canelles,wb2:terradets,canelles,terradets,19.28,
wb2:lake areare,wb2:ohinewai,lake areare,ohinewai,19.43,
wb2:lake joksi,wb2:lake nouni,lake joksi,lake nouni,19.77,
"wb2:apalachicola bay, fl","wb2:st. joseph bay, fl","apalachicola bay, fl; apalachicola river, fl; east bay, fl","st. joseph bay, fl",19.8,
wb2:lake karapiro,wb2:lake rotomanuka,lake karapiro,lake rotomanuka; serpentine,19.88,
wb2:lake rotoroa (hamilton),wb2:te koutu,lake rotoroa (hamilton),te koutu,19.98,
wb2:lake arapuni,wb2:lake karapiro,lake arapuni,lake karapiro,19.99,
wb2:lake rotokauri,wb2:lake ruatuna,lake rotokauri,lake ruatuna,19.99,
wb2:lake okataina,wb2:lake rerewhakaaitu,lake okataina,lake rerewhakaaitu,20.31,
wb2:lake rotongaio,wb2:lake waikaremoana,lake rotongaio; lake rotonuiaha; lake rotoroa,lake waikaremoana,20.33,
wb2:bassenthwaite lake,wb2:ullswater,bassenthwaite lake,ullswater,20.44,
wb2:lake kooraste linajarv,wb2:lake nouni,lake kooraste linajarv,lake nouni,20.44,
wb2:lac courte oreilles,wb2:long lake,lac courte oreilles,long lake,20.52,
wb2:el atazar,wb2:pinilla,el atazar,pinilla,20.57,
wb2:lake chotkowskie,wb2:lake rybiec,lake chotkowskie,lake rybiec,20.57,
wb2:lake holstre,wb2:lake vortsjarv,lake holstre,lake vortsjarv,20.68,
wb2:lake b,wb2:ohinewai,lake b; lake d (kainui),ohinewai,20.82,
wb2:lake rotokauri,wb2:lake rotomanuka,lake rotokauri,lake rotomanuka; serpentine,20.82,
wb2:lake czarne,wb2:lake pyszne,lake czarne,lake pyszne,20.83,
wb2:lake joksi,wb2:lake kaariku,lake joksi,lake kaariku,20.92,
wb2:lake boruja maa,wb2:lake czarne,lake boruja maa,lake czarne,20.98,
"wb2:atlantic ocean, va","wb2:bush river, md","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","bush river, md",21.03,
wb2:lake otepaa valgjarv,wb2:lake verevi,lake otepaa valgjarv,lake verevi,21.11,
wb2:liangzi lake,wb2:wuhan east lake,liangzi lake,wuhan east lake,21.24,
wb2:lake puhajarv,wb2:lake verevi,lake puhajarv,lake verevi,21.25,
wb2:lake boruja maa,wb2:lake gebokie,lake boruja maa,lake gebokie,21.26,
wb2:lake jasien ponocny,wb2:lake niezabyszewskie,lake jasien ponocny; lake jasien poudniowy,lake niezabyszewskie,21.36,
wb2:metonga lake,wb2:pelican lake,metonga lake,pelican lake,21.41,
wb2:lake rotoma,wb2:lake tarawera,lake rotoma,lake tarawera,21.48,
wb2:lake rotoehu,wb2:lake tarawera,lake rotoehu,lake tarawera,21.52,
wb2:lake areare,wb2:rotognaro,lake areare,rotognaro; rotognaroiti,21.58,
wb2:lake karapiro,wb2:lake maratoto,lake karapiro,lake maratoto,21.58,
wb2:lake koshkonong,wb2:rock lake,lake koshkonong,rock lake,21.7,
"wb2:waccamaw river, sc","wb2:winyah bay, sc","waccamaw river, sc","winyah bay, sc",21.71,
wb2:lake okareka,wb2:lake rotoehu,lake okareka,lake rotoehu,21.74,
wb2:lake juottaan tekojarvi,wb2:lake vuoskujarvi,lake juottaan tekojarvi,lake vuoskujarvi,21.78,
wb2:lake kaariku,wb2:lake vortsjarv,lake kaariku,lake vortsjarv,21.81,
"wb2:cunningham lake, ne","wb2:lake manawa, ia","cunningham lake, ne","lake manawa, ia",21.82,
wb2:lake rototuna,wb2:lake wainui,lake rototuna,lake wainui,21.85,
wb2:rainbow flowage,wb2:trout lake,rainbow flowage,trout lake,21.85,
wb2:lake humuhumu,wb2:lake ototoa,lake humuhumu; lake swan/rotootuaruru,lake ototoa,21.93,
wb2:lake joemoisa,wb2:lake peipsi,lake joemoisa; lake kaiu,lake peipsi,21.96,
wb2:lake gebokie,wb2:lake pyszne,lake gebokie,lake pyszne,22.14,
wb2:lake karapiro,wb2:lake ruatuna,lake karapiro,lake ruatuna,22.3,
wb2:lake joksi,wb2:lake tamula,lake joksi,lake tamula,22.32,
wb2:lake winnebago,wb2:lake winneconne,lake winnebago,lake winneconne,22.35,
wb2:cernadilla,wb2:sanabria,cernadilla,sanabria,22.36,
wb2:coniston water,wb2:ullswater,coniston water,ullswater,22.41,
wb2:breukeleveensche- of stille plas,wb2:ijmeer durgerdam,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,ijmeer durgerdam; markermeer de hemmelanden,22.45,
"wb2:altamaha river, ga","wb2:canoochee river, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","canoochee river, ga; ogeechee river, ga",22.46,
wb2:lake jasien ponocny,wb2:lake pyszne,lake jasien ponocny; lake jasien poudniowy,lake pyszne,22.46,
wb2:big saint germain lake,wb2:fence lake,big saint germain lake,fence lake,22.49,
wb2:mangakaware,wb2:te koutu,mangakaware,te koutu,22.49,
wb2:garda,wb2:mantova,garda,mantova,22.55,
wb2:lake chotkowskie,wb2:lake jasien ponocny,lake chotkowskie,lake jasien ponocny; lake jasien poudniowy,22.55,
wb2:lake eucumbene,wb2:lake jindabyne,lake eucumbene,lake jindabyne,22.8,
wb2:lake kegonsa,wb2:lake koshkonong,lake kegonsa,lake koshkonong,22.8,
wb2:lake ellesmere (te waihora),wb2:lake forsyth (lake wairewa),lake ellesmere (te waihora),lake forsyth (lake wairewa),22.82,
wb2:lake rotokauri,wb2:lake waahi,lake rotokauri,lake waahi,22.88,
wb2:lake hakanoa,wb2:lake rotokauri,lake hakanoa,lake rotokauri,22.95,
wb2:pelican lake,wb2:pine lake,pelican lake,pine lake,23.02,
wb2:lake kooraste linajarv,wb2:lake tamula,lake kooraste linajarv,lake tamula,23.09,
"wb2:atlantic ocean, va","wb2:york river, va","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","york river, va",23.16,
wb2:lake juottaan tekojarvi,wb2:lake siika-kama,lake juottaan tekojarvi,lake siika-kama,23.16,
wb2:lake siika-kama,wb2:lake vuoskujarvi,lake siika-kama,lake vuoskujarvi,23.28,
wb2:lake rotoehu,wb2:lake rotorua,lake rotoehu,lake rotorua,23.33,
wb2:lake okareka,wb2:lake rotoma,lake okareka,lake rotoma,23.36,
wb2:lake b,wb2:rotognaro,lake b; lake d (kainui),rotognaro; rotognaroiti,23.46,
wb2:eagle creek reservoir,wb2:geist reservoir,"eagle creek reservoir; eagle creek reservoir, in",geist reservoir,23.56,
wb2:pinilla,wb2:santillana,pinilla,santillana,23.69,
wb2:lake b,wb2:lake maratoto,lake b; lake d (kainui),lake maratoto,23.71,
wb2:lake kaariku,wb2:lake pangodi,lake kaariku,lake pangodi,23.86,
wb2:lake mokeno,wb2:lake ototoa,lake mokeno,lake ototoa,23.87,
"wb2:blackbird creek, de","wb2:fork branch, de","blackbird creek, de","fork branch, de",23.88,
wb2:lake puhajarv,wb2:lake vortsjarv,lake puhajarv,lake vortsjarv,23.92,
wb2:lake ruusmae,wb2:lake tamula,lake ruusmae,lake tamula,23.95,
wb2:lake joksi,wb2:lake pangodi,lake joksi,lake pangodi,23.98,
wb2:lake nohipalu valgjarv,wb2:lake tamula,lake nohipalu valgjarv,lake tamula,23.99,
wb2:hawke bay,wb2:lake rotongaio,hawke bay,lake rotongaio; lake rotonuiaha; lake rotoroa,24.0,
wb2:lake juottaan tekojarvi,wb2:lake vanttausjarvi,lake juottaan tekojarvi,lake vanttausjarvi,24.0,
"wb2:altamaha river, ga","wb2:satilla river, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","satilla river, ga",24.04,
wb2:lake nohipalu valgjarv,wb2:lake peipsi,lake nohipalu valgjarv,lake peipsi,24.04,
"wb2:satilla river, ga","wb2:st. simons sound, ga","satilla river, ga","st. simons sound, ga",24.05,
wb2:lake aviemore,wb2:lake benmore,lake aviemore,lake benmore,24.3,
wb2:lake hino,wb2:lake rouge suurjarv,lake hino,lake rouge suurjarv,24.53,
wb2:butternut lake,wb2:pine lake,butternut lake,pine lake,24.58,
wb2:santillana,wb2:valmayor,santillana,valmayor,24.6,
wb2:fox lake,wb2:green lake,fox lake,green lake,24.65,
wb2:butternut lake,wb2:lac vieux desert,butternut lake,lac vieux desert,24.66,
wb2:fence lake,wb2:rainbow flowage,fence lake,rainbow flowage,24.75,
"wb2:james river, va","wb2:york river, va","james river, va","york river, va",24.8,
wb2:lake koorkula valgjarv,wb2:lake vortsjarv,lake koorkula valgjarv; lake udsu,lake vortsjarv,24.93,
wb2:lake ahijarv,wb2:lake rouge suurjarv,lake ahijarv,lake rouge suurjarv,24.94,
wb2:geneva lake,wb2:lake geneva,geneva lake,lake geneva,,geneva
wb2:gulf of tonkin,wb2:long lake,"gulf of tonkin; ha long bay, quang ninh province",long lake,,long
wb2:high rock lake,wb2:rock lake,high rock lake,rock lake,,rock
wb2:lake koorkula valgjarv,wb2:lake nohipalu valgjarv,lake koorkula valgjarv; lake udsu,lake nohipalu valgjarv,,valgjarv
wb2:lake koorkula valgjarv,wb2:lake otepaa valgjarv,lake koorkula valgjarv; lake udsu,lake otepaa valgjarv,,valgjarv
wb2:lake nohipalu valgjarv,wb2:lake otepaa valgjarv,lake nohipalu valgjarv,lake otepaa valgjarv,,valgjarv
wb2:lake rotoiti,wb2:lake rotoiti (nelson lake),lake rotoiti,lake rotoiti (nelson lake),,rotoiti
wb2:lake rotongaio,wb2:lake rotoroa (hamilton),lake rotongaio; lake rotonuiaha; lake rotoroa,lake rotoroa (hamilton),,rotoroa
wb2:lake rotongaio,wb2:rotoroa,lake rotongaio; lake rotonuiaha; lake rotoroa,rotoroa,,rotoroa
wb2:lake rotoroa (hamilton),wb2:rotoroa,lake rotoroa (hamilton),rotoroa,,rotoroa
wb2:rainbow flowage,wb2:spirit river flowage,rainbow flowage,spirit river flowage,,flowage
wb2:south china sea,wb2:south pacific ocean (peruvian coast),south china sea; south china sea (bornean coast),south pacific ocean (peruvian coast),,coast
