label,target,sensor,protocol,population,noise_mult,noise_add,model,method,alpha,cov_wb_mean,cov_wb_std,cov_wb_median,cov_pooled_mean,cov_pooled_std,cov_pooled_median,width_wb_mean,width_wb_std,width_wb_median,width_wb_log10mean_mean,width_wb_log10mean_std,width_wb_log10mean_median,winkler_wb_mean,winkler_wb_std,winkler_wb_median,inf_rate_mean,inf_rate_std,inf_rate_median,cov_worst_ge10_mean,cov_worst_ge10_std,cov_worst_ge10_median,beta_mean_mean,beta_mean_std,beta_mean_median,cvplus_bound_mean,cvplus_bound_std,cvplus_bound_median,k_cal_units_mean,k_cal_units_std,k_cal_units_median,k_cal_rows_mean,k_cal_rows_std,k_cal_rows_median,n_splits,n_seeds,n_splits_infinite,mdsa_mean,mdsa_std,mdsa_median,sspb_mean,sspb_std,sspb_median,logmae_mean,logmae_std,logmae_median,logbias_mean,logbias_std,logbias_median,logrmse_mean,logrmse_std,logrmse_median
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,gauss,0.05,0.9694809525287992,0.0156127428727046,0.97001066651452,0.9625485653000032,0.0323742985767589,0.972135955831608,1535.42212092129,453.56334385587456,1587.6335984213838,3.1637473647407965,0.1496299747954614,3.200749743302457,3.624298357037264,0.3045590457373142,3.5586870427093915,0.0,0.0,0.0,0.6735340654168688,0.25344654099829,0.6923076923076923,,,,,,,128.68,36.8524027959743,128.5,2530.78,346.1231519654972,2655.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,gauss,0.1,0.9357586476568188,0.0288674361928861,0.9347239628631528,0.9274396800716972,0.0417119353696504,0.9357297403619198,469.0591883020778,118.81145866285397,485.4608809493584,2.655100485876155,0.1255734333305767,2.686153860868278,3.108942151628388,0.2415283788645125,3.0651362198839305,0.0,0.0,0.0,0.509222817003224,0.2446195060068155,0.5010351966873706,,,,,,,128.68,36.8524027959743,128.5,2530.78,346.1231519654972,2655.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,gauss,0.2,0.8446866761756218,0.0453761604370732,0.8391720094730523,0.8296521778310715,0.054875333464531,0.8353679083267683,119.85749271334888,24.285527199360747,123.83915930139314,2.068663210269471,0.097837781696036,2.0928577651432416,2.5968621766573614,0.2130002062808471,2.555702239240013,0.0,0.0,0.0,0.242710813880295,0.1948008914602206,0.1889880952380952,,,,,,,128.68,36.8524027959743,128.5,2530.78,346.1231519654972,2655.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,297.6257870600408,57.154165964553215,286.98010081129405,-34.75808938549515,187.8228093533673,-19.45748840992385,0.6472004106244695,0.0501092435773497,0.6455512449005669,-0.0373499143165817,0.3757853645235575,-0.0545853916332226,0.7835565495953165,0.0642524377845302,0.7785696845178647
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_gsub,0.05,0.9586652042981292,0.0319302865778467,0.96852739027585,0.9534604905966148,0.0344832380769443,0.9572412419249268,4740.898018658231,13915.000878524545,829.1910320014322,3.0855396250264238,0.567846522319386,2.9183595374782287,3.698782834739884,0.4866642505449935,3.644594262692845,0.0,0.0,0.0,0.6326075163940703,0.2511487145882684,0.62531328320802,0.9590086260316888,0.0067592493206754,0.9576867987586536,,,,73.32,39.35263909932385,73.0,73.32,39.35263909932385,73.0,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_gsub,0.1,0.9004951668236668,0.0541692016531266,0.9039890231116384,0.892768564377536,0.0507823671771534,0.8952855062295544,337.3276379560138,257.4904037260848,256.715180496703,2.432193863368634,0.2849422402397494,2.40944542182598,3.0989248179564304,0.3423002316983672,3.0531141794137597,0.0,0.0,0.0,0.3979402815191393,0.2184509994192605,0.3809523809523809,0.908027934324864,0.0078048767937242,0.905532891381948,,,,73.32,39.35263909932385,73.0,73.32,39.35263909932385,73.0,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_gsub,0.2,0.8198533359655497,0.0770706152908198,0.8239226231768542,0.7981135822739986,0.067968136773755,0.812202580028667,108.28756914100306,51.78000756458247,99.78963798900575,1.9870990794053696,0.2073509910704968,1.9990457060058493,2.607758858933754,0.2621120487897704,2.632588966495412,0.0,0.0,0.0,0.1718549013875161,0.1735137362609278,0.0869565217391304,0.8077889149272639,0.0072682278842318,0.8055555555555556,,,,73.32,39.35263909932385,73.0,73.32,39.35263909932385,73.0,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_pool,0.05,0.941129301485683,0.0346395287489443,0.950773023886351,0.9378161614813486,0.0311542267108244,0.9427185568884042,691.7326683072961,529.8777760846677,550.9658561645433,2.763276909161661,0.2380863045996418,2.7411143981541057,3.582335056448056,0.4965104895450855,3.47606023571897,0.0,0.0,0.0,0.5549591499442323,0.2109673776693174,0.5311355311355311,0.950450081497886,0.000357741240253,0.9504286492064912,,,,73.32,39.35263909932385,73.0,1007.22,177.23169316243775,995.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_pool,0.1,0.8962039160503492,0.0504258173216606,0.9093337311319782,0.8900901065065507,0.0372684721412004,0.8959442214095533,264.1677629668841,141.4330875645835,228.0156313037707,2.37453190058558,0.1963803886910611,2.3577803635649657,3.0767934616262376,0.3682263741915655,3.047161000398497,0.0,0.0,0.0,0.3725517302266721,0.1650566587803908,0.375,0.9003975497935838,0.0003085031885437,0.9003115264797508,,,,73.32,39.35263909932385,73.0,1007.22,177.23169316243775,995.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,const,scp_pool,0.2,0.8155342906153568,0.0756653799665104,0.8327005401719166,0.7970954626280686,0.0539614903778684,0.8068598883377449,101.821859054894,45.91715718488291,86.44053897388108,1.9725523306003063,0.169923120450646,1.9367111125091288,2.605276675658415,0.2683022163220093,2.59294764007634,0.0,0.0,0.0,0.1410631667542759,0.1311016574403339,0.0869565217391304,0.800327906535862,0.0002626935399845,0.8002103281982438,,,,73.32,39.35263909932385,73.0,1007.22,177.23169316243775,995.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,emp_ndci,gauss,0.05,0.9492789187788602,0.0428580197181641,0.9665792501026444,0.9497187811845844,0.0295519301460741,0.9535870805377816,43.76454898433391,8.750660599729484,42.8676496419927,1.6307506955291649,0.1021744644129291,1.6321280218237473,2.2397578760588344,0.5502339209369607,1.989429145714484,0.0,0.0,0.0,0.7704777621310802,0.1214353706780911,0.7727272727272727,,,,,,,128.68,36.8524027959743,128.5,2530.78,346.1231519654972,2655.5,50,10,0.0,,,,,,,,,,,,,,,
exploratory,Chla,hyp,contributor,primary,0.0,0.0,emp_ndci,gauss,0.1,0.9256852188561834,0.0560786247254906,0.9432760598426008,0.9221481870126216,0.0434994787787653,0.9252251049377048,23.769066424905155,4.069148084613054,23.42751241554245,1.3685691254292365,0.0857475135752914,1.3697250140930124,1.83200999181787,0.4011915553628261,1.6531831212921673,0.0,0.0,0.0,0.6921854579440392,0.1121309482957179,0.6818181818181818,,,,,,,128.68,36.8524027959743,128.5,2530.78,346.1231519654972,2655.5,50,10,0.0,,,,,,,,,,,,,,,
