hypothesis,target,estimate,ci_lo,ci_hi,t,df,p_raw,J,se,note,arm,unit,n_test_mean,n_train_mean,seeds
H1,Chla,0.7478407859083289,0.6967851989185101,0.7988963728981477,-5.417867669619108,19,1.576725792003055e-05,20,0.024393215587888706,,mdn_native,water_bodies,51.15,200.85,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,Chla,0.9231488500251089,0.8893789494046364,0.9569187506455815,2.6743217884348516,19,0.9925018247946178,20,0.016134501918096334,,lgbm_gauss,water_bodies,51.15,200.85,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,TSS,0.6756153041327033,0.6210335605730627,0.730197047692344,-7.837457305403733,19,1.1351479449715739e-07,20,0.026077934195109235,,mdn_native,water_bodies,61.8,245.2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,TSS,0.8943202155223384,0.852427461022818,0.9362129700218589,0.7154591745192757,19,0.7584871537351585,20,0.02001541951287482,,lgbm_gauss,water_bodies,61.8,245.2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,aCDOM440,0.6884569519393269,0.6023957822603038,0.77451812161835,-4.658363447079591,19,8.564706391949043e-05,20,0.04111809871356319,,mdn_native,water_bodies,49.45,196.55,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,aCDOM440,0.9089821411994757,0.861917729703533,0.9560465526954185,1.2888787249361469,19,0.8935435695220286,20,0.022486321357280185,,lgbm_gauss,water_bodies,49.45,196.55,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,Secchi_depth,0.705674480918281,0.652577874866598,0.758771086969964,-6.871766989778948,19,7.41225961419188e-07,20,0.025368368767597974,,mdn_native,water_bodies,65.15,259.85,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
H1,Secchi_depth,0.9244487052775249,0.8988056724268267,0.950091738128223,3.627972162061646,19,0.9991046303262704,20,0.012251666576257925,,lgbm_gauss,water_bodies,65.15,259.85,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
