target,sensor,population,n_cal_wb_target,method,alpha,label,n_seeds,draws_per_seed,mean_cov,beta_mean,sd_seed_draw0,sd_seed_means,beta_sd,beta_law_applicable,sd_draws_conditional_on_split,inf_rate_mean,mean_width_wb_log10
Chla,hyp,primary,10,cqr_gsub,0.1,exploratory,20,20.0,0.9154839593880322,0.9090909090909094,0.09076902350386191,0.03831541580270626,0.08298826628866154,True,0.07798918431075895,0.0,1.384293919928531
Chla,hyp,primary,10,cqr_pool,0.1,exploratory,20,20.0,0.8909582856255325,0.905328362687744,0.061872511259350754,0.03434180305262371,0.02928405626420082,False,0.051856713197279206,0.0,1.051988548264594
Chla,hyp,primary,10,scp_gsub,0.1,exploratory,20,20.0,0.9121634617334291,0.9090909090909094,0.08569467372168814,0.03268396618486553,0.08298826628866154,True,0.0797566771647975,0.0,1.3689130098510003
Chla,hyp,primary,10,scp_pool,0.1,exploratory,20,20.0,0.882438223715338,0.905328362687744,0.062525748403119,0.04144244977332401,0.02928405626420082,False,0.057870186609110384,0.0,1.0259775137091869
Chla,hyp,primary,15,cqr_gsub,0.1,exploratory,20,20.0,0.9407205831016562,0.9375,0.048720967510064744,0.04024788248754931,0.05870852728923277,True,0.05206522713908883,0.0,1.5895913112721973
Chla,hyp,primary,15,cqr_pool,0.1,exploratory,20,20.0,0.8975069165362303,0.9030170484262529,0.0653660164625699,0.034017955950594786,0.022310706759902828,False,0.045127401218861975,0.0,1.0708190201374626
Chla,hyp,primary,15,scp_gsub,0.1,exploratory,20,20.0,0.9396553655032649,0.9375,0.053540248668413,0.03211085657077249,0.05870852728923277,True,0.05366841835467323,0.0,1.5806837108426615
Chla,hyp,primary,15,scp_pool,0.1,exploratory,20,20.0,0.8891922196265902,0.9030170484262529,0.0548863527839676,0.03722855875789608,0.022310706759902828,False,0.052734565898218774,0.0,1.043880635353318
Chla,hyp,primary,20,cqr_gsub,0.1,exploratory,20,20.0,0.9131098167068874,0.9047619047619048,0.07813922596315116,0.04098603702887166,0.06258368958788293,True,0.052241886018180105,0.0,1.2259523030745634
Chla,hyp,primary,20,cqr_pool,0.1,exploratory,20,20.0,0.897783392949167,0.9020716528607965,0.05988895913965024,0.03732413511190239,0.0187036374604681,False,0.03808811582458558,0.0,1.053100076461452
Chla,hyp,primary,20,scp_gsub,0.1,exploratory,20,20.0,0.9042139548945523,0.9047619047619048,0.0987959097093733,0.0431870221621077,0.06258368958788293,True,0.058525670670055575,0.0,1.2012759829389545
