label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,earliest,per_k,0,cqr,hybrid,0.1,20,0.9183599082707135,0.04308041970176899,20.9,0.0
exploratory,Chla,earliest,per_k,0,cqr,local,0.1,20,1.0,0.0,20.9,1.0
exploratory,Chla,earliest,per_k,0,scp,augment,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,global,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,hybrid,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,local,0.1,20,1.0,0.0,20.9,1.0
exploratory,Chla,earliest,per_k,1,cqr,augment,0.1,20,0.9193201261672007,0.041756215099171975,20.25,0.0
exploratory,Chla,earliest,per_k,1,cqr,global,0.1,20,0.9171889302997556,0.04349930963840188,20.25,0.0
exploratory,Chla,earliest,per_k,1,cqr,hybrid,0.1,20,0.9193201261672007,0.041756215099171975,20.25,0.0
exploratory,Chla,earliest,per_k,1,cqr,local,0.1,20,1.0,0.0,20.25,1.0
exploratory,Chla,earliest,per_k,1,scp,augment,0.1,20,0.9055213390621338,0.04572457359712251,20.25,0.0
exploratory,Chla,earliest,per_k,1,scp,global,0.1,20,0.9036240749907115,0.04775372162031046,20.25,0.0
exploratory,Chla,earliest,per_k,1,scp,hybrid,0.1,20,0.9055213390621338,0.04572457359712251,20.25,0.0
exploratory,Chla,earliest,per_k,1,scp,local,0.1,20,1.0,0.0,20.25,1.0
exploratory,Chla,earliest,per_k,2,cqr,augment,0.1,20,0.9202799629458518,0.039363009145210986,17.55,0.0
exploratory,Chla,earliest,per_k,2,cqr,global,0.1,20,0.9145497471649404,0.04461402242433445,17.55,0.0
exploratory,Chla,earliest,per_k,2,cqr,hybrid,0.1,20,0.9202799629458518,0.039363009145210986,17.55,0.0
exploratory,Chla,earliest,per_k,2,cqr,local,0.1,20,1.0,0.0,17.55,1.0
exploratory,Chla,earliest,per_k,2,scp,augment,0.1,20,0.906749727009862,0.04833680676163165,17.55,0.0
exploratory,Chla,earliest,per_k,2,scp,global,0.1,20,0.901090731414107,0.052172414037663276,17.55,0.0
exploratory,Chla,earliest,per_k,2,scp,hybrid,0.1,20,0.906749727009862,0.04833680676163165,17.55,0.0
exploratory,Chla,earliest,per_k,2,scp,local,0.1,20,1.0,0.0,17.55,1.0
exploratory,Chla,earliest,per_k,5,cqr,augment,0.1,20,0.9245127685159528,0.036501283222893456,13.95,0.0
exploratory,Chla,earliest,per_k,5,cqr,global,0.1,20,0.9170423950641553,0.04219139622204406,13.95,0.0
exploratory,Chla,earliest,per_k,5,cqr,hybrid,0.1,20,0.9245127685159528,0.036501283222893456,13.95,0.0
exploratory,Chla,earliest,per_k,5,cqr,local,0.1,20,1.0,0.0,13.95,1.0
exploratory,Chla,earliest,per_k,5,scp,augment,0.1,20,0.9128185916726247,0.04368508721320752,13.95,0.0
exploratory,Chla,earliest,per_k,5,scp,global,0.1,20,0.9005369482289769,0.05377340045407618,13.95,0.0
exploratory,Chla,earliest,per_k,5,scp,hybrid,0.1,20,0.9128185916726247,0.04368508721320752,13.95,0.0
exploratory,Chla,earliest,per_k,5,scp,local,0.1,20,1.0,0.0,13.95,1.0
exploratory,Chla,earliest,per_k,10,cqr,augment,0.1,20,0.8994942918072422,0.047693054386893814,11.6,0.0
exploratory,Chla,earliest,per_k,10,cqr,global,0.1,20,0.903129024484767,0.04982186628584223,11.6,0.0
