key,value,rounding,source_file,filter
t1.Secchi_depth.complete_olci,3384,integer,data/processed/gloria.parquet,secchi_primary & complete_olci
t1.Secchi_depth.anyband_le0_olci,1,integer,data/processed/gloria.parquet,secchi_primary & complete_olci; any olci band <= 0
t2.Chla.random.n_splits,20,integer,data/processed/splits_Chla.parquet,"protocol == random; distinct (seed, fold, test_unit)"
t2.Chla.random.n_seeds,20,integer,data/processed/splits_Chla.parquet,protocol == random; nunique seed
t2.Chla.random.n_descriptive,0,integer,data/processed/splits_Chla.parquet,protocol == random; descriptive_only splits
t2.Chla.random.train.rows_median,2685.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == train; median over splits of row count
t2.Chla.random.train.wb_median,225.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == train; median over splits of nunique wb_group
t2.Chla.random.cal.rows_median,894.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == cal; median over splits of row count
t2.Chla.random.cal.wb_median,147.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == cal; median over splits of nunique wb_group
t2.Chla.random.test.rows_median,893.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == test; median over splits of row count
t2.Chla.random.test.wb_median,151.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == random; role == test; median over splits of nunique wb_group
t2.Chla.waterbody.n_splits,20,integer,data/processed/splits_Chla.parquet,"protocol == waterbody; distinct (seed, fold, test_unit)"
t2.Chla.waterbody.n_seeds,20,integer,data/processed/splits_Chla.parquet,protocol == waterbody; nunique seed
t2.Chla.waterbody.n_descriptive,0,integer,data/processed/splits_Chla.parquet,protocol == waterbody; descriptive_only splits
t2.Chla.waterbody.train.rows_median,2648.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == train; median over splits of row count
t2.Chla.waterbody.train.wb_median,153.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == train; median over splits of nunique wb_group
t2.Chla.waterbody.cal.rows_median,843.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == cal; median over splits of row count
t2.Chla.waterbody.cal.wb_median,52.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == cal; median over splits of nunique wb_group
t2.Chla.waterbody.test.rows_median,957.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == test; median over splits of row count
t2.Chla.waterbody.test.wb_median,52.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == waterbody; role == test; median over splits of nunique wb_group
t2.Chla.waterbody_5km.n_splits,10,integer,data/processed/splits5km_Chla.parquet,"protocol == waterbody_5km; distinct (seed, fold, test_unit)"
t2.Chla.waterbody_5km.n_seeds,10,integer,data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; nunique seed
t2.Chla.waterbody_5km.n_descriptive,0,integer,data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; descriptive_only splits
t2.Chla.waterbody_5km.train.rows_median,2819.5,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == train; median over splits of row count
t2.Chla.waterbody_5km.train.wb_median,142.0,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == train; median over splits of nunique wb_5km
t2.Chla.waterbody_5km.cal.rows_median,798.0,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == cal; median over splits of row count
t2.Chla.waterbody_5km.cal.wb_median,48.0,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == cal; median over splits of nunique wb_5km
t2.Chla.waterbody_5km.test.rows_median,802.5,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == test; median over splits of row count
t2.Chla.waterbody_5km.test.wb_median,48.0,"integer (median, half up)",data/processed/splits5km_Chla.parquet,protocol == waterbody_5km; role == test; median over splits of nunique wb_5km
t2.Chla.contributor_ds.n_splits,50,integer,data/processed/splits_Chla.parquet,"protocol == contributor_ds; distinct (seed, fold, test_unit)"
